,alt,lat,lon,pitch,rol,yaw
318,172.19,32.9438422,35.1061807,11.14,37.33,101.41
319,173.02,32.9438241,35.1062345,11.2,39.67,103.75
320,173.53,32.9438042,35.1062881,10.96,41.51,107.05
321,173.96,32.9437822,35.1063409,10.66,42.1,110.61
322,174.34,32.9437579,35.1063928,9.92,41.79,114.52
323,174.69,32.9437314,35.1064436,9.5,42.49,117.93
324,175.11,32.9437024,35.1064927,9.06,43.0,121.29
325,175.65,32.9436708,35.1065401,9.44,42.28,123.55
326,176.04,32.943637,35.106586,9.74,43.52,126.49
327,176.3,32.9436014,35.10663,9.39,37.04,130.02
328,176.48,32.9435639,35.106672,9.26,24.13,132.49
329,176.94,32.943525,35.1067125,9.13,12.16,133.74
330,177.56,32.9434852,35.1067516,8.91,5.88,133.15
331,178.4,32.9434449,35.1067902,7.69,2.52,131.29
332,179.4,32.9434046,35.1068288,6.49,-0.68,129.56
333,178.97,32.9433641,35.1068677,5.03,-0.72,130.48
334,179.75,32.9433235,35.106907,4.15,1.11,131.6
335,180.06,32.9432831,35.1069467,3.61,1.4,131.68
336,180.06,32.9432426,35.1069865,3.37,2.24,130.57
337,180.2,32.9432019,35.1070265,3.31,1.25,128.91
338,179.82,32.9431609,35.1070671,2.73,-0.51,127.93
339,179.72,32.9431201,35.1071081,2.36,-0.52,127.41
340,179.7,32.9430794,35.1071492,2.57,-1.99,127.31
341,179.37,32.9430388,35.1071909,2.5,-2.37,127.74
342,179.48,32.9429982,35.1072332,2.45,-2.65,128.9
343,179.29,32.9429579,35.1072762,2.36,-1.34,130.48
344,179.39,32.9429177,35.1073198,2.36,0.25,130.54
345,179.32,32.9428776,35.107364,2.37,0.2,128.75
346,179.32,32.9428376,35.1074083,2.53,0.35,127.14
347,179.05,32.9427975,35.1074527,2.69,1.79,127.06
348,179.12,32.9427573,35.1074975,3.0,6.4,128.0
349,178.77,32.9427171,35.1075423,2.84,12.97,128.83
350,179.14,32.9426766,35.1075872,3.47,15.77,128.51
351,178.85,32.9426354,35.1076317,4.11,14.28,127.64
352,178.54,32.9425937,35.1076759,4.14,8.72,127.15
353,178.64,32.9425516,35.1077196,3.52,5.4,127.82
354,178.77,32.9425089,35.1077631,3.4,4.56,129.12
355,178.67,32.942466,35.1078067,3.21,3.15,129.71
356,179.25,32.9424233,35.1078506,3.46,4.74,129.19
357,178.79,32.9423806,35.1078944,3.29,9.41,128.98
358,178.95,32.9423374,35.1079381,3.28,14.62,129.82
359,179.21,32.9422938,35.1079816,2.59,20.29,131.94
360,179.2,32.9422497,35.1080248,2.54,23.44,133.64
361,179.1,32.942205,35.1080673,3.06,25.01,134.91
362,178.93,32.9421596,35.1081085,4.09,21.67,135.14
363,178.94,32.9421136,35.1081485,4.82,16.29,134.71
364,178.95,32.942067,35.1081875,4.8,16.99,136.73
365,178.27,32.9420199,35.1082258,3.88,16.68,139.18
366,178.56,32.9419723,35.1082632,3.55,16.73,140.23
367,179.26,32.9419241,35.1082995,4.39,18.19,139.14
368,179.06,32.9418755,35.1083349,4.91,22.2,138.66
369,179.04,32.9418262,35.1083691,4.99,24.61,140.52
370,178.87,32.9417764,35.1084026,3.72,26.57,144.06
371,179.2,32.9417261,35.1084351,3.34,27.53,147.28
372,178.92,32.941675,35.1084659,3.36,27.64,148.93
373,179.42,32.941623,35.108495,4.01,27.36,149.84
374,179.19,32.9415703,35.1085222,4.38,26.34,150.66
375,179.39,32.9415172,35.1085475,5.3,21.59,151.27
376,179.18,32.9414634,35.1085712,5.56,19.71,150.94
377,179.53,32.9414092,35.1085935,4.81,18.44,151.93
378,179.97,32.9413549,35.1086149,4.38,13.34,152.81
379,180.17,32.9413004,35.108636,4.21,5.16,152.92
380,179.87,32.9412457,35.1086566,3.58,1.2,154.16
